,Munich - Verona,Coimbra - Madrid (incl. upgrades),Milan - Budapest,Hungary - Greece,Sibiu - Brasov,South of Finland,Nyköping - Södertälje,Petra - Kalamata ,Fehmarn Belt (incl. upgrades),Upgrades in Cologne
Munich - Verona,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Coimbra - Madrid (incl. upgrades),1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Milan - Budapest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hungary - Greece,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sibiu - Brasov,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
South of Finland,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Nyköping - Södertälje,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Petra - Kalamata ,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Fehmarn Belt (incl. upgrades),1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Upgrades in Cologne,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
