,Munich - Verona,Coimbra - Madrid (incl. upgrades),Milan - Budapest,Hungary - Greece,Sibiu - Brasov,South of Finland,Nyköping - Södertälje,Petra - Kalamata ,Fehmarn Belt (incl. upgrades),Upgrades in Cologne
Munich - Verona,0.0,0.0,0.42,0.89,0.0,0.0,0.0,0.89,0.0,0.84
Coimbra - Madrid (incl. upgrades),0.26,0.0,0.0,0.0,0.53,0.0,0.0,0.89,0.53,0.84
Milan - Budapest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84
Hungary - Greece,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84
Sibiu - Brasov,0.0,0.74,0.0,0.0,0.0,0.89,0.84,0.74,0.74,0.74
South of Finland,0.0,0.58,0.0,0.0,0.26,0.0,0.84,0.74,0.0,0.84
Nyköping - Södertälje,0.0,0.47,0.0,0.0,0.26,0.89,0.0,0.74,0.0,0.74
Petra - Kalamata ,0.26,0.74,0.0,0.0,0.26,0.0,0.0,0.0,0.26,0.84
Fehmarn Belt (incl. upgrades),0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.84
Upgrades in Cologne,0.26,0.74,0.0,0.0,0.26,0.0,0.0,0.89,0.26,0.0
